Test Case ID,Description,Test Procedure,Expected Result,Actual Result,Status,Comments
[cite_start]TC_S2_01,Upload Patient Record - Valid File,"1. Login as Receptionist/Admin[cite: 2]. 2. Select Patient. 3. Choose valid file (PDF/JPG). 4. [cite_start]Click Upload[cite: 3].","System accepts file. Saves to Patient History. [cite_start]Notifies Doctor[cite: 4].","Pending Execution","Not Run",""
TC_S2_02,Upload Patient Record - Invalid Format,"1. Login as Receptionist. 2. Select Patient. 3. Choose invalid file (e.g. .exe). 4. Click Upload.","System validates format. Displays error message. [cite_start]File is not saved[cite: 3].","Pending Execution","Not Run","Verify loop back to file selection"
TC_S2_03,Upload Record - Doctor Notification,"1. Complete valid upload as Receptionist. 2. Login as assigned Doctor. 3. [cite_start]Check Dashboard/Notifications.","Doctor receives notification of new uploaded record[cite: 4].","Pending Execution","Not Run","Integration check"
TC_S2_04,Upload Record - Cancel Operation,"1. Login as Receptionist. 2. Select file. 3. Click Cancel before final submit.","Upload process aborted. No file saved to database.","Pending Execution","Not Run",""
TC_S2_05,View Patient History - Patient Role,"1. [cite_start]Login as Patient[cite: 6]. 2. Navigate to ""Patient History"".","System displays history in ""View Only"" mode. [cite_start]No edit options available[cite: 7].","Pending Execution","Not Run","Role-based access check"
TC_S2_06,View Patient History - Doctor Role,"1. Login as Doctor. 2. [cite_start]Navigate to ""Patient History"".","System displays history with options to ""Add/Update Notes""[cite: 7].","Pending Execution","Not Run","Role-based access check"
TC_S2_07,Doctor Adds Visit Note,"1. Login as Doctor. 2. Access Patient History. 3. Click ""Add Note"". 4. Enter details and Save.","System saves note to database. [cite_start]Note appears in ""Visit Notes"" section[cite: 6].","Pending Execution","Not Run",""
TC_S2_08,Doctor Updates Existing Note,"1. Login as Doctor. 2. Select existing note. 3. Edit content. 4. Save.","System updates the record. [cite_start]Timestamp reflects modification[cite: 6].","Pending Execution","Not Run",""
TC_S2_09,Patient Views Past Appointments,"1. Login as Patient. 2. [cite_start]Click ""View past appointment"" in History section.","List of previous appointments displayed correctly[cite: 6].","Pending Execution","Not Run",""
TC_S2_10,Patient Views Medication History,"1. Login as Patient. 2. [cite_start]Click ""View medication history"".","List of prescribed medications displayed correctly[cite: 6].","Pending Execution","Not Run",""
TC_S2_11,Access History - Unauthorized User,"1. Login as a user not linked to the patient (if applicable). 2. Attempt to view history via URL manipulation.","Access Denied. Redirect to error page or dashboard.","Pending Execution","Not Run","Security check"
TC_S2_12,View Payment Due,"1. Login as Patient. 2. [cite_start]Navigate to Appointment/Payment section.","System displays correct ""Payment Due"" amount[cite: 10].","Pending Execution","Not Run",""
TC_S2_13,Make Online Payment - Success,"1. Select appointment. 2. Choose Payment Method. 3. [cite_start]Enter valid details[cite: 11]. 4. Confirm.","Gateway processes payment. System shows ""Success"". [cite_start]Receipt generated[cite: 12].","Pending Execution","Not Run","Happy Path"
TC_S2_14,Make Online Payment - Card Declined,"1. Initiate payment. 2. Enter card details with insufficient funds/block. 3. Submit.","Gateway returns failure. [cite_start]System shows ""Payment was not successful"" error[cite: 11].","Pending Execution","Not Run","Unhappy Path"
TC_S2_15,Make Online Payment - Invalid Details,"1. Initiate payment. 2. Enter invalid card format (e.g. wrong length). 3. Submit.","System/Gateway validation catches error. Form not submitted.","Pending Execution","Not Run","Input validation"
TC_S2_16,Verify Receipt Generation,"1. Complete successful payment. 2. [cite_start]Check screen or email.","Receipt is displayed/sent to patient[cite: 11].","Pending Execution","Not Run",""
TC_S2_17,Payment Status Update,"1. Complete successful payment. 2. [cite_start]Check Appointment Status in History.","Status updated to ""Paid"" or ""Confirmed"" in database[cite: 12].","Pending Execution","Not Run","Database integrity check"
TC_S2_18,Payment History Log,"1. Perform multiple payments. 2. [cite_start]Navigate to ""View Payment History""[cite: 10].","All past transactions listed with correct dates and amounts.","Pending Execution","Not Run",""
TC_S2_19,Gateway Timeout Handling,"1. Initiate payment. 2. Simulate network loss/gateway timeout.","System handles gracefully (e.g. ""Transaction pending"" or ""Try again""). No crash.","Pending Execution","Not Run","Edge case"
TC_S2_20,Concurrent Payment Status,"1. Open payment page. 2. Admin manually marks as paid in backend. 3. Patient tries to pay.","System detects status change. Prevents double payment.","Pending Execution","Not Run","Concurrency check"
